player_name,position,college,draft_year,pick,round,slap_display_score,slap_model_score,dc_score,prospect_profile,dataset,enhanced_breakout,teammate_score,early_declare_score,production_score,speed_score,te_breakout_score,te_production_score,ras_score,breakout_age,peak_dominator,rush_yards,rec_yards,team_pass_att,pos_rank
Vinny Anthony II,WR,Wisconsin,2026,250,7,2.2,28.15,3.9,26.7,2026_prospect,40.0,0.0,0.0,,,,,,,28.5,27.0,,,58
Eric Rivers,WR,Georgia Tech,2026,250,7,1.9,27.37,3.9,24.1,2026_prospect,36.1,0.0,0.0,,,,,,,16.1,56.0,,,67
Trebor Pena,WR,Penn State,2026,250,7,1.9,27.67,3.9,25.0,2026_prospect,37.6,0.0,0.0,,,,,,,17.6,69.0,,,67
Caullin Lacy,WR,Louisville,2026,250,7,1.9,27.48,3.9,24.4,2026_prospect,36.6,0.0,0.0,,,,,,,16.6,53.0,,,67
Rara Thomas,WR,Troy,2026,250,7,1.9,27.48,3.9,24.4,2026_prospect,36.6,0.0,0.0,,,,,,23.0,23.2,39.0,,,67
Chase Roberts,WR,BYU,2026,250,7,1.6,27.15,3.9,23.3,2026_prospect,35.0,0.0,0.0,,,,,,,33.0,,,,71
Aaron Anderson,WR,LSU,2026,250,7,1.6,27.02,3.9,22.9,2026_prospect,34.3,0.0,0.0,,,,,,,19.3,2.0,,,71
Dane Key,WR,Nebraska,2026,250,7,1.6,26.88,3.9,22.4,2026_prospect,33.6,0.0,0.0,,,,,,,18.6,,,,71
Jordan Dwyer,WR,TCU,2026,250,7,1.6,27.15,3.9,23.3,2026_prospect,35.0,0.0,0.0,,,,,,,21.3,,,,71
Griffin Wilde,WR,Northwestern,2026,250,7,1.6,27.15,3.9,23.3,2026_prospect,35.0,0.0,0.0,,,,,,,41.7,5.0,,,71
Justus Ross-Simmons,WR,Syracuse,2026,250,7,1.6,27.15,3.9,23.3,2026_prospect,35.0,0.0,0.0,,,,,,,20.7,,,,71
Jalil Farooq,WR,Maryland,2026,250,7,1.6,27.15,3.9,23.3,2026_prospect,35.0,0.0,0.0,,,,,,,20.0,8.0,,,71
Jeff Caldwell,WR,Cincinnati,2026,250,7,1.6,26.82,3.9,22.2,2026_prospect,33.3,0.0,0.0,,,,,,,18.3,,,,71
Harrison Wallace III,WR,Mississippi,2026,250,7,1.6,26.68,3.9,21.8,2026_prospect,32.6,0.0,0.0,,,,,,,17.6,,,,71
J.Michael Sturdivant,WR,Florida,2026,250,7,1.3,26.47,3.9,21.1,2026_prospect,31.6,0.0,0.0,,,,,,,16.6,1.0,,,80
Kaleb Brown,WR,UAB,2026,250,7,1.0,24.95,3.9,16.0,2026_prospect,24.0,0.0,0.0,,,,,,,9.0,5.0,,,81
Tyren Montgomery,WR,John Carroll,2026,250,7,1.0,25.15,3.9,16.7,2026_prospect,25.0,0.0,0.0,,,,,,,,,,,81
Jayden Ballard,WR,Wisconsin,2026,250,7,1.0,26.29,3.9,20.5,2026_prospect,30.7,0.0,0.0,,,,,,,15.7,,,,81
Michael Wortham,WR,Montana,2026,250,7,1.0,26.15,3.9,20.0,2026_prospect,30.0,0.0,0.0,,,,,,,,345.0,,,81
Romello Brinson,WR,SMU,2026,250,7,1.0,26.04,3.9,19.6,2026_prospect,29.4,0.0,0.0,,,,,,,14.4,4.0,,,81
E.J. Williams,WR,Indiana,2026,250,7,1.0,25.99,3.9,19.4,2026_prospect,29.2,0.0,0.0,,,,,,,14.2,,,,81
Joseph Manjack IV,WR,TCU,2026,250,7,1.0,25.69,3.9,18.5,2026_prospect,27.7,0.0,0.0,,,,,,,12.7,-4.0,,,81
Donavon Greene,WR,Virginia Tech,2026,250,7,1.0,25.67,3.9,18.4,2026_prospect,27.6,0.0,0.0,,,,,,,12.6,,,,81
Keelan Marion,WR,Miami (FL),2026,250,7,1.0,25.62,3.9,18.2,2026_prospect,27.3,0.0,0.0,,,,,,,12.3,,,,81
Kyron Ware-Hudson,WR,Penn State,2026,250,7,1.0,25.58,3.9,18.1,2026_prospect,27.2,0.0,0.0,,,,,,,12.2,,,,81
Jared Brown,WR,South Carolina,2026,250,7,1.0,25.47,3.9,17.7,2026_prospect,26.6,0.0,0.0,,,,,,,6.6,33.0,,,81
Jaron Glover,WR,Mississippi State,2026,250,7,1.0,25.43,3.9,17.6,2026_prospect,26.4,0.0,0.0,,,,,,,11.4,,,,81
Andrel Anthony,WR,Duke,2026,250,7,1.0,25.24,3.9,17.0,2026_prospect,25.4,0.0,0.0,,,,,,,10.4,,,,81
Malik McClain,WR,Arizona State,2026,250,7,1.0,25.17,3.9,16.7,2026_prospect,25.1,0.0,0.0,,,,,,,10.1,,,,81
Devin Voisin,WR,South Alabama,2026,250,7,1.0,25.15,3.9,16.7,2026_prospect,25.0,0.0,0.0,,,,,,,,,,,81
Max Tomzcak,WR,Youngstown State,2026,250,7,1.0,25.15,3.9,16.7,2026_prospect,25.0,0.0,0.0,,,,,,,,,,,81
Jerand Bradley,WR,Kansas State,2026,250,7,1.0,25.04,3.9,16.3,2026_prospect,24.4,0.0,0.0,,,,,,,9.4,,,,81
JoJo Earle,WR,UNLV,2026,250,7,1.0,24.89,3.9,15.8,2026_prospect,23.7,0.0,0.0,,,,,,,3.7,102.0,,,81
Chris Hilton,WR,LSU,2026,250,7,1.0,24.78,3.9,15.4,2026_prospect,23.1,0.0,0.0,,,,,,,8.1,,,,81
Christian Leary,WR,Western Michigan,2026,250,7,1.0,24.75,3.9,15.3,2026_prospect,23.0,0.0,0.0,,,,,,,3.0,46.0,,,81
Dacari Collins,WR,Louisville,2026,250,7,1.0,24.47,3.9,14.4,2026_prospect,21.6,0.0,0.0,,,,,,,6.6,,,,81
Deion Colzie,WR,Miami (OH),2026,250,7,1.0,24.42,3.9,14.2,2026_prospect,21.3,0.0,0.0,,,,,,,6.3,,,,81
Talyn Shettron,WR,Oklahoma State,2026,250,7,1.0,24.38,3.9,14.1,2026_prospect,21.1,0.0,0.0,,,,,,,6.1,,,,81
Tobias Merriweather,WR,Utah,2026,250,7,1.0,23.61,3.9,11.5,2026_prospect,17.3,0.0,0.0,,,,,,,2.3,,,,81
Jaden Bray,WR,West Virginia,2026,250,7,1.0,23.57,3.9,11.4,2026_prospect,17.1,0.0,0.0,,,,,,,2.1,,,,81
Andre Greene Jr.,WR,Virginia,2026,250,7,1.0,23.42,3.9,10.9,2026_prospect,16.3,0.0,0.0,,,,,,,1.3,,,,81
Kyion Grayes,WR,California,2026,250,7,1.0,23.22,3.9,10.2,2026_prospect,15.3,0.0,0.0,,,,,,,0.3,,,,81
Jayden McGowan,WR,Charlotte,2026,250,7,1.0,23.18,3.9,10.1,2026_prospect,15.1,0.0,0.0,,,,,,,0.1,,,,81
Jayden Thomas,WR,Virginia,2026,250,7,1.0,23.18,3.9,10.1,2026_prospect,15.1,0.0,0.0,,,,,,,0.1,,,,81
